Class,Not_Transit-like_False_Positive_Flag,Orbit_Period,Transit_Epoch,Transit_Duration,Transit_Depth,Planetary_Radius,Insolation_Flux,Transit_Signal-to-Noise,Stellar_Surface_Gravity,Stellar_Radius
1,0,12.3935651,178.74725,3.8896,916.6,2.66,49.68,35.8,4.603,0.75
1,0,43.84439721,151.93538,6.802,615.2,2.87,18.77,83.7,4.406,1.012
0,0,3.341913228,171.63943,3.813,725.3,21.55,268.67,39.0,4.551,0.811
1,0,1.626630225,169.820171,2.1145,1620.6,32.43,1355.88,103.6,4.41,0.973
1,0,2.711504086,170.03417,3.0099,837.5,3.12,960.79,64.5,4.442,1.076
1,0,7.21203748,172.81782,4.0491,950.4,3.32,260.58,51.5,4.442,1.076
0,0,14.1798187,171.50237,2.505,459.9,1.88,60.35,11.2,4.539,0.878
1,0,8.47237911,174.16212,2.7245,1123.5,2.59,75.44,47.6,4.587,0.788
1,0,60.4189369,181.16367,5.039,931.3,2.36,5.49,20.1,4.587,0.788
1,0,12.611904345,180.892284,5.1497,6105.6,7.4,76.15,277.2,4.508,0.919
0,0,1.433769925,170.403536,1.8868,1976.3,46.58,3209.29,112.6,4.22,1.339
0,0,10.31872301,173.31543,3.836,871.7,28.59,139.26,38.2,4.409,1.06
1,0,2.539183147,169.67494,2.4282,382.1,2.06,743.09,38.9,4.35,1.062
1,0,6.770300385,170.57662,2.0844,1304.0,2.77,102.87,50.8,4.656,0.679
0,0,0.444291966,169.865406,2.0792,10967.0,27.51,2706.26,299.7,4.678,0.636
1,0,10.181584004,177.141891,3.5089,5741.1,7.73,102.91,183.6,4.541,0.836
1,0,20.06036336,147.46554,3.3203,1494.7,1.96,4.0,35.2,4.754,0.493
1,0,46.1842039,165.23729,4.758,1394.7,1.83,1.32,26.0,4.754,0.493
1,0,23.9800854,147.537,5.351,104.0,1.31,41.94,17.1,4.406,1.012
1,0,7.82502168,136.54995,2.186,520.8,1.2,14.05,15.9,4.754,0.493
1,0,3.895936525,170.527552,2.3111,8544.8,7.34,241.62,370.8,4.592,0.774
1,0,22.36646466,175.45862,5.228,986.8,2.32,19.45,32.1,4.615,0.734
1,0,1.625522174,170.8266564,2.38963,7969.0,9.73,1467.41,799.7,4.322,1.106
1,0,19.620346923,181.881819,2.0038,21725.0,13.6,40.39,340.5,4.492,0.905
